Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2008-0027-COL,2008,0027,VO-2008-000009,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Galeras,Colombia,COL,South America,Americas,"Genoy town (Pasto distrit, Nariño Province), Sandona, Yacuanquer, Consaca districts (Nariño Province)",,,,,,,,,,,,20:06,,2008,1,17,2008,1,17,,,150,,150,,,,,,,73.56874554,2,,14069;14102;14115;14124,"Consaca, Pasto, Sandona, Yacuanquer (Adm2). "
2008-0164-COL,2008,0164,VO-2008-000046,Natural,Geophysical,Volcanic activity,Ash fall,,Nevado del Huila,Colombia,COL,South America,Americas,"Miranda, Toribio, Paez, Inza districts (Cauca province), Iquira, Santa Maria, Palermo, Teruel, La Plata, Paicol, Tesalia, Nataga districts (Huila province), Rioblanco, Planadas districts (Tolima province)",,,,,,,,,,,,,,2008,4,14,2008,4,14,,,14201,,14201,,,,,,,73.56874554,2,,13733;13739;13742;13758;13986;13989;13990;13993;13994;14001;14005;14006;14349;14352,"Inza, Iquira, La Plata, Miranda, Nataga, Paez, Paicol, Palermo, Planadas, Rioblanco, Santa Maria, Teruel, Tesalia, Toribio (Adm2). "
2008-0162-IDN,2008,0162,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Egon,Indonesia,IDN,South-Eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,,,,,,,,,,,,2008,4,15,2008,4,15,,,600,,600,,,,,,,73.56874554,2,,18156,Sikka (Adm2). 
2007-0669-PHL,2007,0669,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin area (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2007,7,31,2007,7,31,,,14036,,14036,,,,,,,70.8487927,2,,24245,Sorsogon (Adm2). 
2007-0473-YEM,2007,0473,,Natural,Geophysical,Volcanic activity,Ash fall,,,Yemen,YEM,Western Asia,Asia,"Jabal Al-Tayr island (Alluheyah district, Al Hudaydah province)",Earthquake,,,,,,,,,,,,,2007,9,30,2007,9,30,6,15,,,15,,,,,,,70.8487927,2,,32734,Alluheyah (Adm2). 
2008-0659-VUT,2008,0659,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Ambrym,Vanuatu,VUT,Melanesia,Oceania,Ambrym island (Malampa province),,,,,,,,,,,,,,2008,12,,2009,4,,,,9000,,9000,,,,,,,73.56874554,2,,31850,Administrative unit not available (Adm2). 
2010-0562-IDN,2010,0562,VO-2010-000214,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Klaten, Kota Klaten, Magelang, Kota Magelang, Boyolali districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",,Fire,,Yes,,,2234,,,,,,,2010,10,24,2010,10,24,322,454,136686,,137140,,,,,,,74.50944408,2,,17985;18034;18042;18043;18050;73730,"Boyolali, Klaten, Kota Klaten, Kota Magelang, Magelang, Sleman (Adm2). "
2010-0170-ISL,2010,0170,,Natural,Geophysical,Volcanic activity,Ash fall,,Eyjafjallajokull,Iceland,ISL,Northern Europe,Europe," Fljotshlid, Eyjafjöll, and Landeyjar villages (Rangarvalla province)",,Flood,,,,,,,,63.62959,-19.64,,,2010,3,,2010,4,,,,,,,,,,,,,74.50944408,1,1474,,Rang??rvalla (Adm1). 
2010-0274-ECU,2010,0274,VO-2010-000104,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,Ecuador,ECU,South America,Americas,"Tungurahua, Chimborazo, Bolivar, Pastaza, Los Rios, Guayas provinces",,,,,,,,,,-1.467,-78.442,,,2010,5,28,2010,5,28,,,2500,,2500,,,,,,,74.50944408,1,1136;1139;1147;1152;1155;22005,,"Bolivar, Chimborazo, Guayas, Los Rios, Pastaza, Tungurahua (Adm1). "
2010-0220-GTM,2010,0220,VO-2010-000103,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya volcano,Guatemala,GTM,Central America,Americas,"Escuintla, Guatemala, Sacatepéquez provinces",,,,Yes,,Yes,,,,14.381,-90.601,19:00,,2010,5,27,2010,5,27,,,1800,,1800,,,,,,,74.50944408,1,64821;64823;64825,,"Escuintla, Guatemala, Sacatepéquez (Adm1). "
